transaction_id,date,category,region,units_sold,unit_price,discount,revenue
TX001,2026-01-03,Electronics,South,4,25000,0.05,95000
TX002,2026-01-05, Home & Kitchen ,south,7,4200,0.10,26460
TX003,2026-01-07,Clothing,North,12,1800,0.05,20520
TX004,2026-01-09,Electronics,East,2,32000,0.08,58880
TX005,2026-01-11,Clothing,West,15,1500,0.00,22500
TX006,2026-01-13,Beauty,South,8,1200,0.05,9120
TX007,2026-01-15,Electronics,North,3,28000,0.10,75600
TX008,2026-01-17,Home & Kitchen,East,5,5200,0.05,24700
TX009,2026-01-19,Clothing,South,,2100,0.10,18900
TX010,2026-01-21,Beauty,West,10,950,0.05,9025
TX011,2026-01-23,Electronics,South,6,27500,0.07,153450
TX012,2026-01-25,Home & Kitchen,North,4,6100,0.00,24400
TX013,2026-01-27,Clothing,East,9,1700,0.05,14535
TX014,2026-01-29,Beauty,South,11,1100,0.10,10890
TX015,2026-02-02,electronics,West,5,24000,0.05,114000
TX016,2026-02-04,Home & Kitchen,East,6,4500,,27000
TX017,2026-02-06,Clothing,North,14,1600,0.05,21280
TX018,2026-02-08,Beauty,West,7,1300,0.00,9100
TX019,2026-02-10,Electronics,South,2,30000,0.05,57000
TX020,2026-02-12,Home & Kitchen,North,8,4800,0.10,34560
TX021,2026-02-14,Clothing,East,10,1900,0.05,18050
TX022,2026-02-16,Beauty,South,9,1150,0.05,9832.5
TX023,2026-02-18,Electronics,West,4,26000,0.08,95680
TX024,2026-02-20,Home & Kitchen,South,5,5000,0.05,23750
TX025,2026-02-22,Clothing,North,13,1750,0.10,20475
TX026,2026-02-24,Beauty,East,8,1250,0.05,9500
TX027,2026-02-26,Electronics,South,100,25000,0.05,2375000
TX028,2026-02-28,Home & Kitchen,south,7,4300,0.05,28505
TX029,2026-03-02,Clothing,West,16,1550,0.00,24800
TX030,2026-03-04,Beauty,North,6,1400,0.10,7560
TX031,2026-03-06,Electronics,East,3,31000,0.05,88350
TX032,2026-03-08,Home & Kitchen,South,9,4700,0.08,38934
TX033,2026-03-10,Clothing,North,11,1850,0.05,19332.5
TX034,2026-03-12,Beauty,West,12,1000,0.05,11400
TX035,2026-03-14,Electronics,South,5,29000,0.10,130500
TX036,2026-03-16,Home & Kitchen,East,4,5500,0.05,20900
TX037,2026-03-18,Clothing,South,10,1650,0.05,15675
TX038,2026-03-20,Beauty,North,7,1350,0.00,9450
TX039,2026-03-22,Electronics,West,3,27000,0.07,75330
TX040,2026-03-24,Home & Kitchen,South,6,4600,0.10,24840
TX041,2026-03-26,Clothing,East,9,1800,0.05,15390
TX042,2026-03-28,Beauty,South,10,1180,0.05,11210
TX043,2026-03-30,Electronics,North,4,25500,0.05,96900
TX044,2026-04-01,Home & Kitchen,West,5,5100,0.00,25500
TX045,2026-04-03,Clothing,South,12,1725,0.10,18630
